org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
backstage,backstage+community-plugins+charts+mkdocs-techdocs-core+actions+community+codemods+contribfest+demo+techdocs-container+software-templates+upgrade-helper-diff+canon-docs+docs-ui+canon-redirect+versions,51730,9545,2488,20137,942,38755,674,Backstage,backstage.io
cilium,cilium+tetragon+community+cilium.io+ebpf+little-vm-helper+little-vm-helper-images+proxy+pwru+certgen+statedb+image-tools+charts+design-cfps+ariane+cilium-cli+dev-summits+hive+hubble+ci-kernels+hubble-ui+fake+json-mock+release+scale-tests-action+scaffolding+workerpool+docsearch-scraper-webhook+action-secure-checkout+alpine-curl+github-actions+hubble-export-stdout+linters+stackwhere+team-manager+test-connection-disruption+cilium-perf-networking+echoserver-udp,34101,19795,4632,11197,1778,7896,633,Cilium,cilium.io
keycloak,keycloak+terraform-provider-keycloak+keycloak-web+keycloak-quickstarts+keycloak-benchmark+kc-sig-fapi+keycloak-oauth-sig+keycloak.github.io+keycloak-client+dashboard+keycloak-js+.github+keycloak-playground+keycloak-grafana-dashboard+keycloak-github-bot+keycloak-ai-sig+keycloak-sre-sig,19093,9806,2135,4849,4367,2785,619,Keycloak,keycloak.org
PX4,NuttX+PX4-Autopilot+PX4-gazebo-models+PX4-Bootloader+PX4-GPSDrivers+flight_review+PX4-SITL_gazebo-classic+px4_msgs+homebrew-px4+pyulog,11401,5384,1283,7382,328,4406,611,PX4 Drone Autopilot,px4.io
kubeflow,pipelines+trainer+website+sdk+hub+model-registry+internal-acls+spark-operator+notebooks+community-distribution+manifests+community+blog+kale+dashboard+mcp-apache-spark-history-server+katib+pipelines-components+docs-agent+kubeflow+mcp-server+mpi-operator+arena+mlflow-integration,21701,16474,1788,4797,812,2627,584,Kubeflow,kubeflow.org
llm-d,llm-d-inference-scheduler+llm-d-router+llm-d+llm-d-benchmark+llm-d-inference-payload-processor+llm-d-kv-cache+llm-d-kv-cache-manager+llm-d-inference-sim+llm-d-workload-variant-autoscaler+llm-d.github.io+llm-d-batch-gateway+llm-d-prism+llm-d-infra+llm-d-deployer+llm-d-routing-sidecar+llm-d-latency-predictor+.github+llm-d-pd-utils+llm-d-go-template+llm-d-model-service+llm-d-python-template,13426,7240,1672,8641,1032,3482,573,llm-d,llm-d.ai
hyperledger+hyperledger-labs,besu+splice+fabric-token-sdk+splice-wallet-kernel+fabric+fabric-smart-client+fabric-x+fabric-x-orderer+besu-docs+fablo+fabric-x-evm+fabric-x-common+besu-native+aifaq+zeto+fabric-chaincode-java+fabric-docs-i18n+governance+learning-tokens+anoncreds-wrapper-javascript+fabric-x-committer+firefly-common+fabric-ca+firefly+firefly-evmconnect+anoncreds-rs+fabric-samples+firefly-transaction-manager+SmartBFT+fabric-lib-go+firefly-cardano+indy-vdr+go-perun+fabric-chaincode-node+fabric-private-chaincode+firefly-sdk-nodejs+fabric-gateway+firefly-cli+firefly-sandbox+fabric-builder-k8s+fabric-admin-sdk,30937,14376,4341,12464,2466,9754,516,Hyperledger,hyperledger.org
finos,legend-engine+common-domain-model+architecture-as-code+legend-studio+fluxnova-bpm-platform+legend+FDC3+legend-sdlc+git-proxy+common-cloud-controls+fluxnova-modeler+opengris-scaler+waltz+ai-governance-framework+rune-dsl+fluxnova-docs-manual+traderX+vuu+symphony-bdk-java+technical-oversight-committee+cdm-object-builder+rune-python-generator+community+pylegend+fluxnova-plugins+perspective+FDC3-Sail+open-source-readiness+morphir+calendar+InnerSource+spring-bot+jupyterlab_templates+morphir-dotnet+morphir-jvm+opengris-parfun+a11y-theme-builder+ambassadors+finos-landscape+fluxnova-ai+kdb+opengris+tracdap+zenith+morphir-rust,21206,7283,3081,16068,1634,9208,514,FINOS,finos.org
jenkinsci,jenkins+resources-ai-chatbot-plugin+mcp-server-plugin+email-ext-plugin+helm-charts+ec2-plugin+pipeline-graph-view-plugin+acceptance-test-harness+junit-plugin+bom+configuration-as-code-plugin+lockable-resources-plugin+gitlab-plugin+oic-auth-plugin+docker+gitlab-branch-source-plugin+jenkins-test-harness+warnings-ng-plugin+plugin-pom+winstone+github-plugin+explain-error-plugin+jira-plugin+kubernetes-plugin+azure-ad-plugin+credentials-plugin+stapler+theme-manager-plugin+workflow-cps-plugin+archetypes+docker-agent+docker-agents+gerrit-trigger-plugin+opentelemetry-plugin+packaging+pipeline-maven-plugin+workflow-job-plugin+anka-build-plugin+azure-vm-agents-plugin+buildtriggerbadge-plugin+design-library-plugin+maven-hpi-plugin+plugin-installation-manager-tool+hashicorp-vault-plugin+mailer-plugin+pipeline-model-definition-plugin+pom+scm-api-plugin+calendar-view-plugin+durable-task-plugin+gradle-plugin+msbuild-plugin+parameterized-trigger-plugin+ai-agent-plugin+analysis-model+appscan-plugin+csp-plugin+dashboard-view-plugin+docker-plugin+docker-ssh-agent+embeddable-build-status-plugin+github-checks-plugin+lucene-search-plugin+nested-data-reporting-plugin+office-365-connector-plugin+oidc-provider-plugin+renovate-config+slack-plugin+subversion-plugin+tekton-client-plugin+throttle-concurrent-builds-plugin+workflow-multibranch-plugin+badge-plugin+checks-api-plugin+cucumber-reports-plugin+customizable-header-plugin+dark-theme-plugin+datadog-plugin+dingtalk-plugin+ecu-test-execution-plugin+file-parameters-plugin+generic-webhook-trigger-plugin+git-client-plugin+incrementals-tools+jfrog-plugin+jobcacher-plugin+next-executions-plugin+opentelemetry-api-plugin+remoting+sidebar-link-plugin+simple-theme-plugin+workflow-durable-task-step-plugin+artifactory-artifact-manager-plugin+authorize-project-plugin+azure-storage-plugin+bitbucket-push-and-pull-request-plugin+bitwarden-credentials-provider-plugin+build-failure-analyzer-plugin+build-history-manager-plugin+build-monitor-plugin+coverage-model+custom-folder-icon-plugin+echarts-api-plugin+hetzner-cloud-plugin+jms-messaging-plugin+json-api-plugin+json-parameter-plugin+prism-api-plugin+proxmox-plugin+swarm-agents-cloud-plugin+.github+additional-identities-plugin+ansicolor-plugin+codebuild-cloud-plugin+dependency-track-plugin+diversion-scm-plugin+favorite-view-plugin+git-forensics-plugin+gitea-checks-plugin+gradle-convention-plugin+instance-identity-plugin+JenkinsPipelineUnit+junit-attachments-plugin+junit-realtime-test-reporter-plugin+lib-version-number+multibranch-filter-plugin+opentelemetry-agent-metrics-plugin+parallel-test-executor-plugin+remote-result-trigger-plugin+swarm-plugin+tacotruck-plugin+validating-yaml-parameter-plugin+versioncolumn-plugin+asm-api-plugin+bridge-method-injector+console-column-plugin+cron_column-plugin+disable-job-button-plugin+extended-timer-trigger-plugin+gitlab-kubernetes-credentials-plugin+idea-stapler-plugin+jnr-posix-api-plugin+openmfa-plugin+oss-symbols-api-plugin+pipeline-agent-build-history-plugin+pipeline-cps-oras-plugin+platformlabeler-plugin+scoring-load-balancer-plugin+workflow-aggregator-plugin+aws-secrets-manager-credentials-provider-plugin+lib-mock-javamail+openstack-cloud-plugin+scm-filter-jervis-plugin,23153,9367,3894,15510,1144,8748,510,Jenkins,jenkins.io
crossplane+crossplane-contrib,crossplane+provider-upjet-aws+docs+cli+provider-upjet-azure+provider-gitlab+crossplane-runtime+provider-helm+function-go-templating+crossview+provider-sql+provider-upjet-gcp+function-kcl+provider-kubernetes+upjet+function-auto-ready+provider-aws+provider-upjet-azuread+crossplane-diff+function-environment-configs+function-sequencer+provider-upjet-github+function-patch-and-transform+provider-http+provider-terraform+provider-argocd+function-sdk-go+provider-ansible+xp-testing+function-sdk-python+uptest+function-extra-resources+function-pythonic+provider-confluent+provider-kafka+provider-palette+crossplane-tools+website+crossplane-provider-castai+function-python+provider-redpanda+provider-upjet-alibabacloud+upjet-provider-template+function-status-transformer+provider-pagerduty+crossplane-provider-newrelic+function-hcl+function-shell+typescript-models+provider-template+function-cel-filter+function-deletion-protection+function-tag-manager+provider-mongodbatlas+provider-openstack+provider-talos+function-template-go+function-template-python+function-dummy+function-gitlab-importer+provider-upjet-zitadel+setup-crossplane-action+release+function-kro+function-unit-test+provider-upjet-cloudflare+provider-workflows+resource-state-metrics+xprin+function-sdk-java+function-sdk-typescript+inspector-sidecar+function-cue+provider-cloudflare+provider-jet-datadog+provider-jet-vault+provider-k3s+provider-newrelic+provider-nop+provider-sonarqube+provider-upjet-digitalocean+x-metrics+conformance+function-runtime-oci+function-template-typescript+org,10962,4271,1262,8878,951,4478,438,Crossplane,crossplane.io
grpc+grpc-ecosystem,grpc+grpc-go+grpc-java+grpc-rust+grpc-gateway+grpc.io+proposal+psm-interop+grpc-dotnet+grpc-node+go-grpc-middleware+grpc-swift-2+grpc-swift-nio-transport+grpc-community+grpc-health-probe+grpc-codelabs+grpc-swift-protobuf+grpc-web+test-infra+awesome-grpc+grpc-swift+grpc-dart+grpc-ios+grpc-kotlin+grpc-swift-extras+grpc-php+grpc-proto+grpcdebug+grpc-spring+.project+grpc-java-api-checker,19011,9595,2429,4288,1017,5970,427,gRPC,grpc.io
cloudfoundry,community+cloud_controller_ng+bosh-linux-stemcell-builder+bosh+bosh-agent+cli+diego-release+routing-release+uaa+bosh-vsphere-cpi-release+cf-acceptance-tests+cf-deployment+docs-dev-guide+bosh-cli+kind-deployment+bosh-deployment+bosh-docker-cpi-release+bosh-utils+java-buildpack+terraform-provider-cloudfoundry+app-autoscaler+bosh-azure-cpi-release+bosh-s3cli+bpm-release+multiapps-cli-plugin+stratos+syslog-release+backup-and-restore-sdk-release+cf-networking-release+go-cfclient+storage-cli+bosh-bootloader+prometheus-boshrelease+cf-openapi+cloud-service-broker+go-buildpack+k8s-policy-agent+korifi+otel-collector-release+app-autoscaler-release+bosh-azure-storage-cli+cf-java-client+grootfs+nodejs-buildpack+php-buildpack+ruby-buildpack+concourse-infra-for-fiwg+disaster-recovery-acceptance-tests+dotnet-core-buildpack+gosigar+nginx-buildpack+python-buildpack+staticfile-buildpack+apt-buildpack+binary-buildpack+bosh-warden-cpi-release+cf_exporter+go-loggregator,15735,4251,1897,10928,852,8735,384,Cloud Foundry,cloudfoundry.org
kyverno,kyverno+website+policies+community+policy-reporter+chainsaw+reports-server+api+kyverno-authz+policy-reporter-ui+sdk+kyverno-envoy-plugin+KDP+playground+kyverno-http-authorizer+policy-reporter-docs+backstage-policy-reporter-plugin+policy-reporter-plugins+action-install-chainsaw+.github+load-testing+ci-images,8841,3140,1872,2732,710,3119,374,Kyverno,kyverno.io
riscv,riscv-isa-manual+riscv-unified-db+riscv-cheri+riscv-arch-test+sail-riscv+riscv-opcodes+meta-riscv+riscv-p-spec+docs-resources+learn+riscv-fast-interrupt+docs.riscv.org+riscv-memory-tagging+riscv-smmtt+riscv-aia+riscv-high-assurance-cryptography+riscv-profiles+riscv-spmp+sig-functional-safety-whitepaper+riscv-performance-event-sampling+riscv-j-extension+riscv-spec-barrier+docs-dev-guide+riscv-glossary+docs-spec-template+riscv-cfi+riscv-debug-spec+riscv-plic-spec+riscv-zalasr+riscv-CMOs+riscv-control-transfer-records+riscv-crypto,13693,7713,1361,8470,1043,3576,372,RISC-V,riscv.org
openembedded+yoctoproject,meta-openembedded+vscode-bitbake,841,136,44,6753,20,641,338,Yocto,yoctoproject.org
kubestellar,console+docs+ui+kubestellar+kubeflex+a2a+console-kb+console-marketplace+klaude+kubectl-claude+kubestellar-mcp+homebrew-tap+kubectl-multi-plugin+kubectl-plugin+ui-plugins+infra+.github+hive+supervised-agent+ocm-status-addon+copilot-remote+galaxy+presentations+homebrew-kubectl-multi+kubestellar-killercoda+kubectl-rbac-flatten-plugin+multi-tenancy+claude-plugins+community+helm+hotshot+pluk+pub-sub-tmux+repo-template+repo-template-go,36192,9308,6968,26310,6684,13232,329,Kubestellar,kubestellar.io
containerd,containerd+nerdctl+nri+nerdbox+nydus-snapshotter+overlaybd+stargz-snapshotter+rust-extensions+cgroups+.project+containerd.io+project+runwasi+accelerated-container-image+continuity+ttrpc+imgcrypt+platforms+plugin+btrfs+go-dmverity+log+release-tool+console+errdefs+ttrpc-rust+zfs+go-cni+shimtest+typeurl+fuse-overlayfs-snapshotter,9194,5350,1155,4700,364,2325,322,containerd,containerd.io
kubevirt,kubevirt+kubevirt-aie+project-infra+enhancements+user-guide+hyperconverged-cluster-operator+containerized-data-importer+kubevirtci+cluster-network-addons-operator+monitoring+hostpath-provisioner-operator+ssp-operator+kubevirt.github.io+common-instancetypes+hostpath-provisioner+application-aware-quota+community+containerdisks+kubevirt-velero-plugin+csi-driver+kubevirt-tekton-tasks+redfish-controller+virt-template+kubevirt-migration-operator+must-gather+ci-health+sig-release+ipam-extensions+macvtap-cni+vdpa-network-binding-plugin+kubevirt-migration-controller+kubevirt.core+alpine-make-vm-image+bridge-marker+iommufd-device-plugin+vm-console-proxy+ci-performance-benchmarks+common-templates+kubesecondarydns+vm-file-restore-operator+api+api-reference+cdi-api-reference+client-go+client-python+cloud-provider-kubevirt+containerized-data-importer-api+kubevirt-aie-webhook+kubevirt-observability-controller,29852,18492,1690,10973,400,9270,320,KubeVirt,kubevirt.io
nats-io,nats-server+nats.docs+nats.go+nats.py+nats.rs+k8s+nats.net+nack+natscli+nats.c+nats.java+nats-surveyor+nats-site+prometheus-nats-exporter+nats.ex+jsm.go+nats-box+nats.js+nats-architecture-and-design+nats.swift+nats.zig+nsc+terraform-provider-jetstream+jwt.net+.github+jwt+nkeys.py+spring-nats+advisories+graft+java-nats-examples+jetstream-gh-action+nats-docker+nats-general+nats-java-vertx-client+nats-kafka+nats-pure.rb+nats-spark-connector+nats-top+nkeys+nkeys.java+nkeys.swift+homebrew-nats-tools+java-nats-server-runner+jnats-json+json.java+jwt.java+jwt.js+nats-account-server+nats-mq+nats-steampipe-plugin+nats.client.deps+nats.deno+nats.net.v1+nats.node+nats.rb+nats.ws+netlify-slack+nkeys.ex+nkeys.js+nkeys.net+nuid.js,9069,3735,1528,7176,579,3227,303,NATS,nats.io
open-feature,openfeature.dev+flagd+go-sdk-contrib+java-sdk-contrib+js-sdk-contrib+java-sdk+js-sdk+community+dotnet-sdk-contrib+open-feature-operator+go-sdk+kotlin-sdk+python-sdk-contrib+ruby-sdk-contrib+cli+python-sdk+dotnet-sdk+flagd-testbed+swift-sdk+spec+rust-sdk-contrib+dart-server-sdk+php-sdk+protocol+ruby-sdk+rust-sdk+action+flagd-schemas+kotlin-sdk-contrib+php-sdk-contrib+cpp-sdk+community-tooling+cpp-sdk-contrib+flagd-evaluator+mcp+playground+slidev-open-feature+toggle-shop+elixir-sdk-contrib+flagd-ofrep-cf-worker+react-native-test-app+.github+angular-test-app+five-minutes-to-feature-flags+killercoda,13657,4428,1175,4418,487,7567,297,OpenFeature,openfeature.dev
istio,istio+istio.io+community+api+ztunnel+proxy+test-infra+tools+release-builder+common-files+bots+enhancements+client-go+pkg,11520,7313,1234,2206,557,2416,294,Istio,istio.io
containers,podman+buildah+skopeo+netavark+podman-py+aardvark-dns+conmon+image+common+storage,9086,6478,835,4125,770,1003,293,Podman Container Tools,podman.io
kagent-dev,kagent+website+kmcp+tools+doc2vec+khook+mockllm+community+.github+a2a-slack-template+mockmcp,4312,1980,746,2152,269,1317,286,kagent,kagent.dev
kubernetes-sigs+headlamp-k8s,headlamp+plugins+headlamp-website+backstage-plugin,6550,4022,922,4753,639,967,282,Headlamp,headlamp.dev
external-secrets,external-secrets+reloader+bitwarden-sdk-server,5500,3421,408,1250,421,1250,280,External Secrets Operator,external-secrets.io
open-policy-agent,opa+gatekeeper+opa-control-plane+regal+swift-opa+conftest+eopa+opa-envoy-plugin+awesome-opa+gatekeeper-library+frameworks+vscode-opa+opa-idea-plugin+java-opa-sdk+kube-mgmt+contrib+opa-typescript+setup-opa+setup-regal+cert-controller+opa-sdk-demos+opa-springboot+opa-csharp+opa-java+golang-opa-wasm+opa-aspnetcore+swift-opa-sdk+ucast-linq+opa-docker-authz+rego-cheat-sheet+rego-style-guide,7396,3284,962,3113,428,2722,271,Open Policy Agent,openpolicyagent.org
