activity,comments,prs,commits,issues,author_name
210,0,0,210,0,Rob Dimsdale-Zucker
209,0,0,209,0,Will Martin
208,0,0,208,0,Ed King
206,0,0,206,0,Sam Coward
204,0,0,204,0,Alex Melnik
202,0,0,202,0,Eric Promislow
201,0,0,201,0,Stu Pollock
198,0,0,198,0,Jamil Shamy
198,0,0,198,0,Beyhan Veli
195,0,0,195,0,Ming Xiao
192,0,0,192,0,Tim Downey
190,0,0,190,0,Andrew Su
187,0,0,187,0,Michael Xu
186,0,0,186,0,Bharath Sekar
184,0,0,184,0,Loggregator CI
183,0,0,183,0,Dave Walter
182,0,0,182,0,Edwin Xie
181,0,0,181,0,Paul Harris
180,0,0,180,0,Glyn Normington
176,0,0,176,0,Severine Tymon
176,0,0,176,0,Forest Eckhardt
175,0,0,175,0,Jeff Johnson
173,0,0,173,0,Ashwin Venkatesh
170,0,0,170,0,Jen Spinney
166,0,0,166,0,Alexander Egurnov
164,0,0,164,0,Joshua Carp
164,0,0,164,0,Nino Kodabande
163,0,0,163,0,Brian Cunnie
160,0,0,160,0,Anoop Gopalakrishnan
160,0,0,160,0,Konstantinos Karampogias
160,0,0,160,0,Tom Kiemes
154,0,0,154,0,Iryna Shustava
150,0,0,150,0,dr.max
145,0,0,145,0,jianqiu
145,0,0,145,0,Gareth Clay
145,0,0,145,0,Aaron Hurley
144,0,0,144,0,Dan Jahner
144,0,0,144,0,Adam Hevenor
141,0,0,141,0,Jane Day
141,0,0,141,0,J Russell Boykin
139,0,0,139,0,Shatarupa Nandi
138,0,0,138,0,Luke Woydziak
134,0,0,134,0,Shannon Coen
132,0,0,132,0,Rowan Jacobs
131,0,0,131,0,Dale Wick
129,0,0,129,0,CI
127,0,0,127,0,Kai Xiang
126,0,0,126,0,Mauro Morales
125,0,0,125,0,Zach Robinson
124,0,0,124,0,Matt Royal
123,0,0,123,0,Edie Beer
122,0,0,122,0,Steffen Uhlig
121,0,0,121,0,Charles Hansen
121,0,0,121,0,Wang JianQiu
120,0,0,120,0,Sameer Vohra
120,0,0,120,0,Roberto Jimenez Sanchez
120,0,0,120,0,Ken Chen
119,0,0,119,0,Long Nguyen
118,0,0,118,0,Danny Cao
116,0,0,116,0,Dave McClure
115,0,0,115,0,Mario Manno
114,0,0,114,0,Evan Farrar
112,0,0,112,0,Lisa Oakley
111,0,0,111,0,Sam Serrano
110,0,0,110,0,Difan Zhao
110,0,0,110,0,Chris Clark
109,0,0,109,0,Felix Riegger
107,0,0,107,0,Norman Sutorius
107,0,0,107,0,Paul Spinrad
106,0,0,106,0,Tim Hausler
104,0,0,104,0,Derek Richard
104,0,0,104,0,J Evelyn Quintana
102,0,0,102,0,Ed Cook
101,0,0,101,0,Dies Koper
100,0,0,100,0,Keaty
98,0,0,98,0,Saman Alvi
96,0,0,96,0,Dan Wendorf
95,0,0,95,0,James Hunt
93,0,0,93,0,Valeria Perticara
93,0,0,93,0,Phil Goodwin
91,0,0,91,0,Kelly Gerritz
91,0,0,91,0,Jen Hamon
90,0,0,90,0,Jacques Chester
88,0,0,88,0,Justin Carter
88,0,0,88,0,Mikhail Vyshegorodtsev
88,0,0,88,0,Annie Sing
86,0,0,86,0,Nikita Rathi
86,0,0,86,0,Rizwan Reza
86,0,0,86,0,Viktoryia Fedzkovich
84,0,0,84,0,Zachary Gershman
83,0,0,83,0,Zach Gershman
83,0,0,83,0,Lisa Cho
83,0,0,83,0,Matthew Horan
82,0,0,82,0,CF INFRASTRUCTURE BOT
82,0,0,82,0,Peter Blum
82,0,0,82,0,Pivotal
81,0,0,81,0,ArthurHlt
81,0,0,81,0,bot
80,0,0,80,0,Evan Brown
80,0,0,80,0,Kevin Kelani
80,0,0,80,0,tmitchell@starkandwayne.com
79,0,0,79,0,Wesley Jeanette
78,0,0,78,0,Heather Farley
78,0,0,78,0,Maria Shaldibina
75,0,0,75,0,Priyata Agrawal
75,0,0,75,0,CAPI CI
75,0,0,75,0,Henry Zhao
75,0,0,75,0,Zak Auerbach
75,0,0,75,0,Kelly-Ann Dolor
74,0,0,74,0,Yulia Gaponenko
73,0,0,73,0,Spring Buildmaster
71,0,0,71,0,Chris Hendrix
71,0,0,71,0,Mark Kollasch
70,0,0,70,0,Victoria Henry
70,0,0,70,0,sunjayBhatia
68,0,0,68,0,Jennifer Hamon
67,0,0,67,0,Danny Sullivan
66,0,0,66,0,Gong Zhang
66,0,0,66,0,Arthur Chan
66,0,0,66,0,Michael Fraenkel
65,0,0,65,0,Marco Voelz
62,0,0,62,0,Utako Ueda
60,0,0,60,0,Sandy Cash
60,0,0,60,0,Sukhil Suresh
59,0,0,59,0,sleslie
59,0,0,59,0,cf-loggregator
59,0,0,59,0,Jeffrey Pak
57,0,0,57,0,Michael Maximilien
57,0,0,57,0,Tom Godkin
57,0,0,57,0,Felix Reyn
56,0,0,56,0,Submodule Bumper
56,0,0,56,0,Caroline Taymor
56,0,0,56,0,Jan von Loewenstein
55,0,0,55,0,Tony Wong
54,0,0,54,0,James Young
54,0,0,54,0,Petar Petrov
53,0,0,53,0,George Lestaris
53,0,0,53,0,Henry Stanley
52,0,0,52,0,Mike Youngstrom
52,0,0,52,0,Akshay Mankar
52,0,0,52,0,abbyachau
52,0,0,52,0,Tanzeeb Khalili
51,0,0,51,0,Ruben Koster
51,0,0,51,0,Adriana Stefanova
50,0,0,50,0,Bozhidar Lenchov
50,0,0,50,0,Jeremy Coffield
48,0,0,48,0,Sam Gunaratne
48,0,0,48,0,Matt Cui
48,0,0,48,0,Brendan Nolan
47,0,0,47,0,Bo Yang
47,0,0,47,0,BOSH CI
47,0,0,47,0,Pierre Oblin
46,0,0,46,0,Sam Nelson
45,0,0,45,0,Alex Stupakov
44,0,0,44,0,Pipeline
43,0,0,43,0,Jian Qiu Wang
43,0,0,43,0,Andrew Garner
42,0,0,42,0,Alberto Leal
42,0,0,42,0,Kyle Boutette
42,0,0,42,0,Nitya Dhanushkodi
42,0,0,42,0,Konstantin Semenov
41,0,0,41,0,Jatin Naik
41,0,0,41,0,Meaghan Kjelland
41,0,0,41,0,Will Pragnell
41,0,0,41,0,Rohit Sharma
40,0,0,40,0,Gabriel Dumitrescu
40,0,0,40,0,Jeff Schnitzer
40,0,0,40,0,Marco Nicosia
39,0,0,39,0,Bin Xia
39,0,0,39,0,scribblingfox
39,0,0,39,0,Dmitriy Kalinin
39,0,0,39,0,Etourneau Gwenn
39,0,0,39,0,Chris Nelson
38,0,0,38,0,CF Garden
38,0,0,38,0,Abel Hu
37,0,0,37,0,J Evelyn
37,0,0,37,0,Rosie Bloxsom
37,0,0,37,0,Giuseppe Capizzi
36,0,0,36,0,Joe Baldwin
36,0,0,36,0,pivotal
35,0,0,35,0,Sebastian Vidrio
35,0,0,35,0,Container Networking Bot
35,0,0,35,0,Steve Weber
34,0,0,34,0,Oleksandr Slynko
34,0,0,34,0,persi-ci
34,0,0,34,0,Daniel Grim
34,0,0,34,0,Bharath
34,0,0,34,0,bsekar
33,0,0,33,0,Shubham Jain
33,0,0,33,0,Nicholas Calugar
32,0,0,32,0,Valeria Perticarà
32,0,0,32,0,Elena Sharma
32,0,0,32,0,Raina Masand
32,0,0,32,0,Andrew Cantino
32,0,0,32,0,ben tarnoff
32,0,0,32,0,Georgi Lozev
31,0,0,31,0,David Ansari
31,0,0,31,0,ramonskie
30,0,0,30,0,Nikolay Maslarski
30,0,0,30,0,Tushar Singal
30,0,0,30,0,Alton Fong
30,0,0,30,0,Mark St.Godard
29,0,0,29,0,Helen Chung
28,0,0,28,0,Belinda Liu
28,0,0,28,0,Sabith KS
28,0,0,28,0,Gabriel Rosenhouse
28,0,0,28,0,Thomas Mitchell
27,0,0,27,0,Julia Nedialkova
27,0,0,27,0,Jason Smith
27,0,0,27,0,hanna.yurkevich
27,0,0,27,0,Abby Chau
26,0,0,26,0,CF Loggregator CI Pipeline
26,0,0,26,0,Hieu Nguyen
26,0,0,26,0,Usha Ramachandran
26,0,0,26,0,Don Tregonning
26,0,0,26,0,Matt Cholick
26,0,0,26,0,Christopher Weibel
26,0,0,26,0,Can Berk Güder
25,0,0,25,0,PlamenDoychev
25,0,0,25,0,Christopher Frost
25,0,0,25,0,Andrew Edstrom
25,0,0,25,0,Your Name
24,0,0,24,0,Dieu Cao
24,0,0,24,0,Joe Kirwin
24,0,0,24,0,CI Submodule AutoUpdate
24,0,0,24,0,Stoyan Rachev
23,0,0,23,0,svgradev
22,0,0,22,0,Kai Hofstetter
22,0,0,22,0,Hiroyuki Kaneko
22,0,0,22,0,Danail Branekov
22,0,0,22,0,qibobo
22,0,0,22,0,Simon Moser
21,0,0,21,0,Kaiting Chen
21,0,0,21,0,Julian Friedman
21,0,0,21,0,Michal Kuratczyk
21,0,0,21,0,Alex Blease
21,0,0,21,0,Hristo Dobtchev
21,0,0,21,0,Allan William Martin
20,0,0,20,0,Neha Jain
20,0,0,20,0,Christopher Brown
20,0,0,20,0,Michael Minges
20,0,0,20,0,Kenji Okimoto
19,0,0,19,0,Daniel Jones
19,0,0,19,0,Simon Leung
19,0,0,19,0,Morena De Liddo
19,0,0,19,0,Tommy Knowlton
19,0,0,19,0,zhanggbj
19,0,0,19,0,J Quintana
19,0,0,19,0,Joseph Marrero
19,0,0,19,0,Stephen Levine
18,0,0,18,0,Cornelius Schumacher
18,0,0,18,0,Tim Harris
18,0,0,18,0,Steve Wall
18,0,0,18,0,sreetummidi
18,0,0,18,0,Renee Chu
18,0,0,18,0,Therese Stowell
18,0,0,18,0,Guillaume Berche
18,0,0,18,0,Carlo Alberto Ferraris
18,0,0,18,0,Tanmoy Pal
18,0,0,18,0,Marianna Reynova
18,0,0,18,0,Denise Yu
17,0,0,17,0,brijeshrakholia
17,0,0,17,0,yulianedyalkova
17,0,0,17,0,Nader Ziada
17,0,0,17,0,Xiang Kai
17,0,0,17,0,Hanna Yurkevich
17,0,0,17,0,Xuebin He
16,0,0,16,0,CF-Identity
16,0,0,16,0,Max Hufnagel
16,0,0,16,0,kanekoh
16,0,0,16,0,Shashwathi
16,0,0,16,0,Zachary Auerbach
16,0,0,16,0,Desmond Pompa Alarcon Rawls
15,0,0,15,0,Jason Stevens
15,0,0,15,0,Alexey Zakharov
15,0,0,15,0,Daniel Mikusa
15,0,0,15,0,Britta
15,0,0,15,0,Kurt Kellner
15,0,0,15,0,Momchil Atanassov
14,0,0,14,0,ghaih
14,0,0,14,0,Donnie Propst
14,0,0,14,0,Concourse Bot
14,0,0,14,0,Pivotal Publication Toolsmiths
14,0,0,14,0,Concourse CI
14,0,0,14,0,Greg Patricio
14,0,0,14,0,norman-abramovitz
14,0,0,14,0,gossion
14,0,0,14,0,Tyler Bird
14,0,0,14,0,Abhik Gupta
14,0,0,14,0,Gigi Hanna
13,0,0,13,0,Peter Götz
13,0,0,13,0,gpatzlaff
13,0,0,13,0,Thinh Nguyen
13,0,0,13,0,Chloe Hollingsworth
13,0,0,13,0,Bengt Hammarlund
13,0,0,13,0,Miranda Limonczenko
13,0,0,13,0,Greenhouse CI
13,0,0,13,0,qiyangbj@cn.ibm.com
13,0,0,13,0,Dave Protasowski
13,0,0,13,0,Nicolas Regez
13,0,0,13,0,Tushar Aggarwal
13,0,0,13,0,cf-infra-bot
12,0,0,12,0,Dan Lavine
12,0,0,12,0,Shoabe Shariff
12,0,0,12,0,Leandro David Cacciagioni
12,0,0,12,0,Matthew Sykes
12,0,0,12,0,Diego
12,0,0,12,0,Akshaya Khare
12,0,0,12,0,Pivotal Concourse Bot
12,0,0,12,0,Aleksandr Melnik
12,0,0,12,0,Kenneth Reitz
11,0,0,11,0,Derik Evangelista
11,0,0,11,0,jaimegag
11,0,0,11,0,Krsna Widmer
11,0,0,11,0,Gwen Ivett
11,0,0,11,0,guwe
11,0,0,11,0,Markus Strehle
11,0,0,11,0,Amin Jams
11,0,0,11,0,ghanna2017
11,0,0,11,0,Colin Jackson
11,0,0,11,0,Gu Bin
11,0,0,11,0,Fydon
11,0,0,11,0,Anthony Emengo
11,0,0,11,0,Topher Bullock
10,0,0,10,0,tushar aggarwal
10,0,0,10,0,Sree Tummidi
10,0,0,10,0,Robert Moss
10,0,0,10,0,okkez
10,0,0,10,0,Michele Mancioppi
10,0,0,10,0,Alex Slynko
10,0,0,10,0,David
10,0,0,10,0,Ryan Moran
10,0,0,10,0,Konstantin Maksimov
10,0,0,10,0,Edward Muller
10,0,0,10,0,Christopher Piraino
10,0,0,10,0,Tim Gerlach
10,0,0,10,0,Megan Murawski
10,0,0,10,0,Natalie J. Bennett
10,0,0,10,0,Josh Aresty
9,0,0,9,0,Chen Xi
9,0,0,9,0,Derek Ricahrd
9,0,0,9,0,Kim Dykeman
9,0,0,9,0,Brenda Chan
9,0,0,9,0,Andrew Edgar
9,0,0,9,0,Yulia Nedyalkova
9,0,0,9,0,Donald Tregonning
9,0,0,9,0,Jeremy
9,0,0,9,0,Stoyan Gradev
9,0,0,9,0,wangjq
9,0,0,9,0,services-api-ci
9,0,0,9,0,Zida
8,0,0,8,0,Rob Dimsdale
8,0,0,8,0,Aidan Feldman
8,0,0,8,0,André Duffeck
8,0,0,8,0,Jeanie Jung
8,0,0,8,0,mihaibuzgau
8,0,0,8,0,Andrew Crump
8,0,0,8,0,Roop
8,0,0,8,0,RUNTIME OG CI
8,0,0,8,0,Eno Compton 4
8,0,0,8,0,martin-d-aleksandrov
8,0,0,8,0,Jan Sievers
8,0,0,8,0,Siarhei Balashevich
8,0,0,8,0,Alexander Anelli
8,0,0,8,0,Andre Duffeck
8,0,0,8,0,Ben Moss
8,0,0,8,0,Henry zhao
8,0,0,8,0,claudia
8,0,0,8,0,Blaine Forbush
8,0,0,8,0,Jeremy Alvis
8,0,0,8,0,Chris Hajas
8,0,0,8,0,CF Container Networking Team
8,0,0,8,0,Rick Kawala
8,0,0,8,0,Sebastian Wittenkamp
8,0,0,8,0,Pradyut Sarma
8,0,0,8,0,Roger Steve Ruiz
7,0,0,7,0,David Protasowski
7,0,0,7,0,James Quintana
7,0,0,7,0,Kevin Yudhiswara
7,0,0,7,0,cf-identity
7,0,0,7,0,Ben Dalby
7,0,0,7,0,CF BPM
7,0,0,7,0,Kalai Wei
7,0,0,7,0,Nguyen Duy Tho
7,0,0,7,0,Florian Nachtigall
7,0,0,7,0,CF Identity
7,0,0,7,0,Bharath Appali
7,0,0,7,0,Urvashi Reddy
7,0,0,7,0,vikafed
7,0,0,7,0,Stev Witzel
7,0,0,7,0,Gaurab Dey
7,0,0,7,0,shash
7,0,0,7,0,Dmitri Gabbasov
7,0,0,7,0,Melinda Jeffs Gutermuth
7,0,0,7,0,Axel FAUVEL
6,0,0,6,0,Mike Jacobi
6,0,0,6,0,C.J. Jameson
6,0,0,6,0,Victor Maevskiy
6,0,0,6,0,David Morhovich
6,0,0,6,0,Tejay Cardon
6,0,0,6,0,Aleksey Zalesov
6,0,0,6,0,Nikhil Katre
6,0,0,6,0,dave
6,0,0,6,0,Steve Hiehn
6,0,0,6,0,Hunter Loftis
6,0,0,6,0,ArthurH
6,0,0,6,0,Peter Tran
6,0,0,6,0,Henry
6,0,0,6,0,Scott Frederick
6,0,0,6,0,bldmgr
6,0,0,6,0,Cade Thacker
6,0,0,6,0,jbheron
6,0,0,6,0,Aleksa Sarai
6,0,0,6,0,Plamen Doychev
6,0,0,6,0,wildloop
6,0,0,6,0,Bernd Krannich
6,0,0,6,0,ghost
6,0,0,6,0,Tobias Fuhrimann
6,0,0,6,0,johnlonganecker
6,0,0,6,0,Amit Kumar Gupta
6,0,0,6,0,Roberto Jimenez
6,0,0,6,0,Jarek Gawor
6,0,0,6,0,aram price
6,0,0,6,0,Genevieve VL
5,0,0,5,0,Identity Service
5,0,0,5,0,dlynch
5,0,0,5,0,Ian Delahorne
5,0,0,5,0,John Longanecker
5,0,0,5,0,Graham Bleach
5,0,0,5,0,Alex Harford
5,0,0,5,0,Ernst Riemer
5,0,0,5,0,Trevor Dearham
5,0,0,5,0,dolores
5,0,0,5,0,Nitin Ravindran
5,0,0,5,0,Zac Bergquist
5,0,0,5,0,A.S. Lomoff
5,0,0,5,0,Dana Hoffman
5,0,0,5,0,paltanmoy
5,0,0,5,0,Ashish Sehra
5,0,0,5,0,Axel Siebenborn
5,0,0,5,0,Matt McNeeney
5,0,0,5,0,Spencer Hawley
5,0,0,5,0,Rajkiran Ramachandran Balasubramanian
5,0,0,5,0,Sarah Day
5,0,0,5,0,Florian Tack
5,0,0,5,0,Jesse Thomas Alford
5,0,0,5,0,georgethebeatle
5,0,0,5,0,CI BOT
5,0,0,5,0,Tho Duy Nguyen
5,0,0,5,0,Johannes Tuchscherer
5,0,0,5,0,Nicolas Roy
5,0,0,5,0,CF CI Pipeline
5,0,0,5,0,Travis Hall
5,0,0,5,0,stipx
5,0,0,5,0,Bill Alley
5,0,0,5,0,peer85
5,0,0,5,0,An Yu
5,0,0,5,0,srbry
5,0,0,5,0,Josh Ghiloni
5,0,0,5,0,Mike Heath
5,0,0,5,0,David M
5,0,0,5,0,Joseph Rodriguez
5,0,0,5,0,Matthias Winzeler
4,0,0,4,0,Mike Dalessio
4,0,0,4,0,Michal Tekel
4,0,0,4,0,Vikram Yadav
4,0,0,4,0,Jay Badenhope
4,0,0,4,0,Miguel Castilho
4,0,0,4,0,Michael Peters
4,0,0,4,0,Gareth Evans
4,0,0,4,0,Alexandre Veyrenc
4,0,0,4,0,Sam Bryant
4,0,0,4,0,Tõnis Pool
4,0,0,4,0,Vanessa Sant'Anna
4,0,0,4,0,Juergen Graf
4,0,0,4,0,schneems
4,0,0,4,0,Jan Dubois
4,0,0,4,0,Jérôme Wiedemann
4,0,0,4,0,Holger Oehm
4,0,0,4,0,Terence Lee
4,0,0,4,0,Adam Eijdenberg
4,0,0,4,0,Roy Arsan
4,0,0,4,0,Alex Suraci
4,0,0,4,0,Max Becker
4,0,0,4,0,Wang Jian Qiu
4,0,0,4,0,Michael Grifalconi
4,0,0,4,0,Ehren Murdick
4,0,0,4,0,William Martin
4,0,0,4,0,Peter Jones
4,0,0,4,0,David Chua
4,0,0,4,0,Minjeong Kim
4,0,0,4,0,Ben Chapman
4,0,0,4,0,Colleen Briant
4,0,0,4,0,datianshi
4,0,0,4,0,William Bean
4,0,0,4,0,Van Nguyen
4,0,0,4,0,Bret Mogilefsky
4,0,0,4,0,David Stevenson
4,0,0,4,0,Jacek Szlachta
4,0,0,4,0,keaty
4,0,0,4,0,Jacques Chester and James Wen
4,0,0,4,0,Alex Tomlins
4,0,0,4,0,Alberto Rios
4,0,0,4,0,yjyum
3,0,0,3,0,chrisjdhanley
3,0,0,3,0,Chen Harel
3,0,0,3,0,Kevin Rutten
3,0,0,3,0,Dhruv Mevada
3,0,0,3,0,Jammy Louie
3,0,0,3,0,d066465
3,0,0,3,0,Momchil Atanasov
3,0,0,3,0,"Bonell Manjarrez, Marcela"
3,0,0,3,0,Scoobed
3,0,0,3,0,Dennis Bell
3,0,0,3,0,Steven Leslie
3,0,0,3,0,José Riguera Lopez
3,0,0,3,0,Alex Heneveld
3,0,0,3,0,Brittany
3,0,0,3,0,Jonty Wareing
3,0,0,3,0,Ergin Babani
3,0,0,3,0,oskoss
3,0,0,3,0,Nicolas Juhel
3,0,0,3,0,Clayton Hynfield
3,0,0,3,0,Salvatore Orlando
3,0,0,3,0,fj391837
3,0,0,3,0,Sven Schmidt
3,0,0,3,0,Hector Rivas Gandara
3,0,0,3,0,Jonathan Gonzalez V
3,0,0,3,0,Zhou Yu
3,0,0,3,0,Madis Pärn
3,0,0,3,0,Toshiaki Maki
3,0,0,3,0,Benjamin Gandon
3,0,0,3,0,Pivotal - DX145
3,0,0,3,0,Florin Dragos
3,0,0,3,0,CF CORE SERVICES BOT
3,0,0,3,0,Dan Young
3,0,0,3,0,Shawn Neal
3,0,0,3,0,Ubuntu
3,0,0,3,0,Eric Johnson
3,0,0,3,0,Jonathan Patchell
3,0,0,3,0,Dan Rabinovitch
3,0,0,3,0,Noah Ispas
3,0,0,3,0,Rob Day Reynolds
3,0,0,3,0,cclauss
3,0,0,3,0,Ajay Koranne
3,0,0,3,0,zhongyi-zhang
3,0,0,3,0,Nana Asiedu-Ampem
3,0,0,3,0,Chris Wang and TJ Taylor
3,0,0,3,0,Karen Huddleston
3,0,0,3,0,Feroz Jilla
3,0,0,3,0,Afolabi Badmos
3,0,0,3,0,Stefan Schneider
3,0,0,3,0,Jean de Klerk
3,0,0,3,0,chaitanyaphalak
3,0,0,3,0,Rahul Krishna Upadhyaya
3,0,0,3,0,David Edwards
3,0,0,3,0,mmanciop
3,0,0,3,0,carabasdaniel
3,0,0,3,0,Ronak Banka
3,0,0,3,0,George Wilder
3,0,0,3,0,Pete Jones
3,0,0,3,0,Sascha Matzke
3,0,0,3,0,Chanho Kim
3,0,0,3,0,Michael William Boldt
3,0,0,3,0,Corey Innis
3,0,0,3,0,Amulya Sharma
3,0,0,3,0,Marc Schunk
3,0,0,3,0,Martin Aleksandrov
3,0,0,3,0,Paolo Stivanin
3,0,0,3,0,Adrian Fedoreanu
3,0,0,3,0,Sylvain Houdusse
3,0,0,3,0,David King
3,0,0,3,0,Joshua Winters
3,0,0,3,0,Nick Roy
3,0,0,3,0,Pawel Oczadly
2,0,0,2,0,Claudio Benfatto
2,0,0,2,0,sarneaud
2,0,0,2,0,Samuel Marks
2,0,0,2,0,matthewcosgrove
2,0,0,2,0,scepollo
2,0,0,2,0,Biju Kunjummen
2,0,0,2,0,Derek Tracy
2,0,0,2,0,Pim van den Berg
2,0,0,2,0,henrytk
2,0,0,2,0,I323976
2,0,0,2,0,Andrea Turli
2,0,0,2,0,Josh Winters
2,0,0,2,0,Soha Alboghdady
2,0,0,2,0,Florian Arthofer
2,0,0,2,0,Olivier Orand
2,0,0,2,0,Chuck D'Antonio
2,0,0,2,0,Alvaro Perez-Shirley
2,0,0,2,0,protondonor
2,0,0,2,0,joek
2,0,0,2,0,Jeremy Budnack
2,0,0,2,0,ortegake
2,0,0,2,0,Norman Abramovitz
2,0,0,2,0,Adam Lee
2,0,0,2,0,Sahil Muthoo
2,0,0,2,0,Cloud Foundry Buildpacks Team Robot
2,0,0,2,0,Patrick Mueller
2,0,0,2,0,Cai Cooper
2,0,0,2,0,Sagar Muchhal
2,0,0,2,0,Gary P White
2,0,0,2,0,Navyatha
2,0,0,2,0,Patrick Crocker
2,0,0,2,0,Tian Wang
2,0,0,2,0,Violeta Georgieva
2,0,0,2,0,moizkhan2712
2,0,0,2,0,Anton Soroko
2,0,0,2,0,José Miguel Parrella
2,0,0,2,0,Stuart Charlton
2,0,0,2,0,Marcela Bonell
2,0,0,2,0,kenosha
2,0,0,2,0,Michael Weibel
2,0,0,2,0,Chad Woolley
2,0,0,2,0,Konstantin Burtsev
2,0,0,2,0,Daxter Mateo
2,0,0,2,0,holly-cummins
2,0,0,2,0,keshto
2,0,0,2,0,denicaM
2,0,0,2,0,Christopher Selzo
2,0,0,2,0,Anton Tolchanov
2,0,0,2,0,Roy Bai
2,0,0,2,0,Jonah Hirsch
2,0,0,2,0,Simon Jones
2,0,0,2,0,Tim Crowe
2,0,0,2,0,Pierre Delagrave
2,0,0,2,0,Rafal Proszowski
2,0,0,2,0,Isaac Collier
2,0,0,2,0,seongkki
2,0,0,2,0,David Illsley
2,0,0,2,0,Andres Garcia Fiorini
2,0,0,2,0,Alpha Chen
2,0,0,2,0,Iain Sproat
2,0,0,2,0,Mike Long
2,0,0,2,0,Winna Bridgewater
2,0,0,2,0,Mevan Samaratunga
2,0,0,2,0,Lynn Lin
2,0,0,2,0,Nuno Dio
2,0,0,2,0,Andreas Fleig
2,0,0,2,0,Sarah Parkle
2,0,0,2,0,Thomas Bouron
2,0,0,2,0,Vlad Stoian
2,0,0,2,0,"Szlachta, Jacek"
2,0,0,2,0,HristoDobchev
2,0,0,2,0,Steve Swor
2,0,0,2,0,Yucheng Tu
2,0,0,2,0,rarsan
2,0,0,2,0,"Momont, Matt (GE Global Research)"
2,0,0,2,0,Oskoss
2,0,0,2,0,Markus Bukowski
2,0,0,2,0,Mathieu Ghennassia
2,0,0,2,0,Dwayne Forde
2,0,0,2,0,Fabien Guichard
2,0,0,2,0,Noburou TANIGUCHI
2,0,0,2,0,aloismayr
2,0,0,2,0,Joshua Kaplan
2,0,0,2,0,Ben Klein
2,0,0,2,0,Joe Kutner
2,0,0,2,0,gharley
2,0,0,2,0,Sean Keery
2,0,0,2,0,Stu Charlton
2,0,0,2,0,Krsna Mahapatra
